"cluster_id","opinion_id","case_name","citation","docket_number","date_filed","court_level","district","district_signal","district_confidence","panel","vote","issue_tags","issue_tags_secondary","canon_invoked","proposal_outcome","fee_disposition","conflict_certified","statute_version","rule_version","subsequent_history","cite_count","category","read_status"
"4540927","9887377","Allen v. Nunez","258 So. 3d 1207","SC16-1164","2018-10-04","supreme","","","","Lewis, J.; Pariente, Quince, Labarga, JJ., concur; Pariente, J., concurring with an opinion. Polston, J., dissenting, joined by Canady, C.J., and Lawson, J.","4-3","3;4","","unknown","unknown","unknown","unknown","unknown","unknown","","9","C","read"
"4543760","9887417","DeLisle v. Crane Co.","258 So. 3d 1219","SC16-2182","2018-10-15","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","19","B","unread"
"4547133","4324386","In re Amendments to the Fla. Rules of Civil Procedure et al. - Electronic Service","257 So. 3d 66","SC17-882","2018-10-25","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","3","A","unread"
"4581389","4358642","Wheaton v. Wheaton","261 So. 3d 1236","SC17-716","2019-01-04","supreme","","","","Quince, J.; Pariente, Lewis, Polston, Labarga, JJ., concur. Canady, C.J., concurs in result, joined by Lawson, J. No rehearing allowed","5-2","1;2","10","neither","unknown","unknown","false","unknown","unknown","","8","C","read"
"4745647","4525994","In re Amendments to the Fla. Rules of Civil Procedure - 2019 Regular-Cycle Report","","SC19-108","2020-04-16","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"5092491","4909876","CCM Condominium Ass'n v. Petri Positive Pest Control, Inc.","","SC19-861","2021-09-09","supreme","","","","Polston, J.; Labarga, Muniz, Couriel, Grosshans, JJ., concur. Canady, C.J., dissents, joined by Lawson, J.","5-2","9","","unknown","unknown","unknown","unknown","unknown","unknown","","0","C","read"
"5293195","5121757","In re Amendments to the Fla. Rules of Civil Procedure et al. (omnibus restyling) [duplicate cluster]","","SC21-1049","2021-10-28","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"5293658","5122220","In re Amendments to the Fla. Rules of Civil Procedure et al. (omnibus restyling)","","SC21-1049","2021-10-28","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"6472079","6344190","In re Amendments to Fla. Rule of Civil Procedure 1.442","","SC21-277","2022-05-26","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"8404436","8374779","Suarez Trucking FL Corp. v. Souders","","SC21-369","2022-10-20","supreme","","","","Per curiam; Muniz, C.J., Canady, Polston, Couriel, Grosshans, JJ. Canady, J., concurs with an opinion, joined by Polston, J. Labarga, J., dissents with an opinion. Francis, J., did not participate","5-1","1;8","","unknown","unknown","unknown","unknown","unknown","unknown","","0","C","read"
"9406669","9402145","Coates v. R.J. Reynolds Tobacco Co.","365 So. 3d 353","SC2021-0175","2023-06-15","supreme","","","","Grosshans, J.; Muniz, C.J., Canady, Couriel, Francis, JJ., concur. Labarga, J., concurs in result. Sasso, J., did not participate","5-0+1","1;2;6","","neither","unknown","unknown","unknown","unknown","unknown","","0","C","read"
"10750922","11217507","In re Amendments to Fla. Rule of Civil Procedure 1.442 and Forms 1.902 and 1.938","","SC2025-0045","2025-11-13","supreme","","","","Per curiam; Muniz, C.J., Canady, Labarga, Couriel, Grosshans, Francis, Sasso, JJ. Unanimous","7-0","3","","unknown","unknown","unknown","","unknown","unknown","(c)(3) re-adopted with only shall->must; Committee Notes [No Change]","0","A","read"
"10883903","11351431","Trace Elements, Inc. v. MacKensen","","SC2024-1274","2026-07-02","supreme","","","","Muniz, J.; Couriel, C.J., Labarga, Grosshans, JJ., concur. Sasso, J., dissents, joined by Francis and Tanenbaum, JJ.","4-3","1;2;3","","derogation","unknown","unknown","false","unknown","unknown","NOT FINAL - rehearing pending as of 2026-08-04; no mandate","0","C","read"
